Fin_year,Stop_ID,Stop_name,Stop_lat,Stop_long,Pax_annual,Pax_weekday,Pax_norm_weekday,Pax_sch_hol_weekday,Pax_Saturday,Pax_Sunday,Pax_pre_AM_peak,Pax_AM_peak,Pax_interpeak,Pax_PM_peak,Pax_PM_late
FY21-22,40221,Craigieburn,-37.6018169,144.9433203,696300,2200,2250,1950,1550,1100,450,1000,500,250,50
FY21-22,44817,Coolaroo,-37.66100253,144.9260556,114400,350,350,350,250,200,50,150,100,50,50
FY21-22,45793,Lynbrook,-38.05734118,145.2492751,203150,700,750,450,300,200,150,400,150,100,50
FY21-22,45794,Cardinia Road,-38.07129047,145.437791,194800,650,700,500,300,200,150,300,150,100,50
FY21-22,45795,South Morang,-37.6491588,145.0670324,347300,1050,1100,1000,800,550,150,400,250,250,50
FY21-22,46468,Williams Landing,-37.86986533,144.7474447,633400,2150,2250,1850,1000,700,300,1150,450,250,50
FY21-22,52095,Southland,-37.958758,145.049124,298200,850,800,1000,850,650,50,100,250,350,50
FY21-22,52159,Middle Gorge,-37.644062,145.09214,115350,400,450,200,150,100,50,150,50,200,50
FY21-22,52160,Hawkstowe,-37.622992,145.097396,87950,300,300,250,150,100,50,150,50,50,50
FY21-22,52161,Mernda,-37.602549,145.100883,447850,1400,1500,1200,900,650,250,750,300,150,50
FY21-22,19841,Flagstaff,-37.81198131,144.9556538,1681700,6100,6450,4900,1650,1100,100,400,1100,4300,550
FY21-22,19842,Melbourne Central,-37.80993877,144.9625935,5491300,17600,18050,16050,10850,7900,200,850,4150,9900,2900
FY21-22,19843,Parliament,-37.81105406,144.9729109,2911250,10300,10800,8400,3750,2300,100,450,2000,7000,1300
FY21-22,19854,Flinders Street,-37.81830513,144.9669643,11392850,33600,33900,32500,29900,21550,900,2300,7050,17650,6000
FY21-22,19908,Richmond,-37.82407446,144.9901643,1966800,4650,4750,4300,7350,5750,100,550,700,2100,1250
FY21-22,19973,North Melbourne,-37.80630984,144.9415102,703500,2150,2250,1850,1750,1250,50,350,500,1100,200
FY21-22,19979,Jolimont,-37.81652702,144.9840983,473600,950,1050,800,1950,1650,50,100,150,450,300
FY21-22,22180,Southern Cross,-37.81793643,144.9514112,6187150,19350,19900,17350,12800,10250,350,1500,3850,11650,2550
FY21-22,20028,Showgrounds,-37.7835,144.915,8350,50,50,50,100,50,50,50,50,50,50
